product_id,product_name,description,material,finish,category
1,Wooden Bedside Lamp,Small bedside lamp made from oak wood with warm LED bulb,Wood,Oak,Lighting
2,Glass Pendant Light,Modern pendant with clear glass shade and brass details,Glass,Brass,Lighting
3,Industrial Floor Lamp,Tall steel floor lamp with adjustable arm,Steel,Matte Black,Lighting
4,LED Desk Lamp,Compact LED desk lamp with adjustable brightness,Plastic,White,Lighting
5,Brass Chandelier,Classic chandelier with brass finish and crystal drops,Brass,Antique Brass,Lighting
6,Rattan Pendant,Handwoven rattan pendant ideal for warm interiors,Rattan,Natural,Lighting
7,Outdoor Wall Light,Durable outdoor wall light with waterproof finish,Aluminum,Black,Outdoor Lighting
8,Crystal Table Lamp,Decorative table lamp with crystal base and fabric shade,Crystal,Silver,Lighting
9,Minimalist Ceiling Light,Flush-mount minimalist LED ceiling light,Aluminum,White,Lighting
10,Adjustable Reading Light,Clip-on reading light with flexible neck,Plastic,Black,Lighting
